title,country,release_year,rating,duration_min,genre,description,platform
Naruto Shippûden the Movie: The Will of Fire,Japan,2009,TV-PG,96,"Action & Adventure, Anime Features, International Movies","When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land.",Netflix
Naruto Shippuden: The Movie,Japan,2007,TV-PG,95,"Action & Adventure, Anime Features, International Movies","The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die.",Netflix
Naruto Shippuden: The Movie: The Lost Tower,Japan,2010,TV-14,85,"Action & Adventure, Anime Features, International Movies","When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.",Netflix
Naruto the Movie 2: Legend of the Stone of Gelel,Japan,2005,TV-PG,97,"Action & Adventure, Anime Features, International Movies","While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.",Netflix
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Japan,2006,TV-PG,95,"Action & Adventure, Anime Features, International Movies","Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom.",Netflix
Naruto the Movie: Ninja Clash in the Land of Snow,Japan,2004,TV-PG,83,"Action & Adventure, Anime Features, International Movies","Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess.",Netflix
Nightbooks,NULL,2021,TV-PG,103,Children & Family Movies,"Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.",Netflix
Schumacher,NULL,2021,TV-14,113,"Documentaries, International Movies, Sports Movies","Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.",Netflix
A StoryBots Space Adventure,NULL,2021,TV-Y,13,Children & Family Movies,"Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.",Netflix
King of Boys,Nigeria,2018,TV-MA,182,"Dramas, International Movies","When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.",Netflix
You vs. Wild: Out Cold,NULL,2021,TV-G,106,Children & Family Movies,"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure.",Netflix
Little Singham - Black Shadow,NULL,2021,TV-Y7,48,"Children & Family Movies, Comedies",Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal’s new evil plans! Can his inner strength help him defeat the enemy?,Netflix
Tughlaq Durbar,NULL,2020,TV-14,145,"Comedies, Dramas, International Movies",A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.,Netflix
Tughlaq Durbar (Telugu),NULL,2021,TV-14,145,"Comedies, Dramas, International Movies",A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.,Netflix
Firedrake the Silver Dragon,NULL,2021,TV-Y7,93,Children & Family Movies,"When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free.",Netflix
Kate,United States,2021,R,106,Action & Adventure,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge.",Netflix
Omo Ghetto: the Saga,Nigeria,2020,TV-MA,147,"Action & Adventure, Comedies, Dramas","Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them.",Netflix
Prey,NULL,2021,TV-MA,87,"International Movies, Thrillers",A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.,Netflix
Blood Brothers: Malcolm X & Muhammad Ali,NULL,2021,PG-13,96,"Documentaries, Sports Movies","From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals.",Netflix
Paradise Hills,"Spain, United States",2019,TV-MA,95,"Sci-Fi & Fantasy, Thrillers","Uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. That’s bad enough, but its real purpose is even worse.",Netflix
The Women and the Murderer,France,2021,TV-14,92,"Documentaries, International Movies","This documentary traces the capture of serial killer Guy Georges through the tireless work of two women: a police chief and a victim's mother.",Netflix
JJ+E,NULL,2021,TV-MA,91,"Dramas, International Movies, Romantic Movies","Elisabeth and John-John live in the same city, but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?",Netflix
Show Dogs,"United Kingdom, United States",2018,PG,90,"Children & Family Movies, Comedies",A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale.,Netflix
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,United States,2018,TV-MA,97,"Documentaries, Music & Musicals","Using interviews and archival footage, this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant.",Netflix
Untold: Breaking Point,United States,2021,TV-MA,80,"Documentaries, Sports Movies","Under pressure to continue a winning tradition in American tennis, Mardy Fish faced mental health challenges that changed his life on and off the court.",Netflix
Shadow Parties,NULL,2020,TV-MA,117,"Dramas, International Movies, Thrillers",A family faces destruction in a long-running conflict between communities that pits relatives against each other amid attacks and reprisals.,Netflix
Angamaly Diaries,India,2017,TV-14,128,"Action & Adventure, Comedies, Dramas","After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law.",Netflix
A Champion Heart,United States,2018,G,90,"Children & Family Movies, Dramas","When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected.",Netflix
Worth,NULL,2021,PG-13,119,Dramas,"In the wake of the Sept. 11 attacks, a lawyer faces an emotional reckoning as he attempts to put a dollar value on the lives lost. Based on real events.",Netflix
Afterlife of the Party,NULL,2021,TV-PG,110,"Comedies, Romantic Movies",Cassie lives to party... until she dies in a freak accident. Now this social butterfly needs to right her wrongs on Earth if she wants to earn her wings.,Netflix
Anjaam,India,1994,TV-14,143,"Dramas, International Movies, Thrillers","A wealthy industrialist’s dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge.",Netflix
Bright Star,"United Kingdom, Australia, France",2009,PG,119,"Dramas, Romantic Movies",This drama details the passionate three-year romance between Romantic poet John Keats – who died tragically at age 25 – and his great love and muse.,Netflix
Dhanak,India,2015,TV-PG,114,"Comedies, Dramas, Independent Movies",A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation.,Netflix
Final Account,"United Kingdom, United States",2021,PG-13,94,Documentaries,"This documentary stitches together never-before-seen interviews with the last living generation of people who participated in Hitler's Third Reich.",Netflix
