show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,Platform
s4197,TV Show,La Grande Chaumière Violette,,"Eli Shi, Alice Ko, Jen-Shuo Cheng, Chiung-Hsuan Hsieh, Herb Hsu, Bryant Lee, Hsiu-Ling Lin, Ma Ju-lung, Ching-kuan Wang",Taiwan,"January 14, 2019",2016,TV-14,1 Season,"International TV Shows, TV Dramas","Reminiscing about his youth in Taiwan's turbulent 1920s, Guo Xuehu reflects on his passion for art, a friendship with a painter – and a doomed romance.",Netflix
s4200,TV Show,Back with the Ex,,,,"January 11, 2019",2018,TV-MA,1 Season,"International TV Shows, Reality TV, Romantic TV Shows",New beginnings or old baggage? Four singles have one chance to reignite romance with an ex – or leave the past behind for good.,Netflix
s4201,TV Show,Friends from College,,"Keegan-Michael Key, Cobie Smulders, Billy Eichner, Fred Savage, Nat Faxon, Annie Parisse, Jae Suh Park",United States,"January 11, 2019",2019,TV-MA,2 Seasons,"Romantic TV Shows, TV Comedies","Twenty years after graduation, a tight-knit group of college friends reconnects and discovers that love hasn't gotten easier with age.",Netflix
s4202,TV Show,Hardy Bucks,,"Martin Maloney, Owen Colgan, Chris Tordoff, Peter Cassidy, Tom Kilgallon, Michael Salmon, Wayne Lynch, Tommy Miller",Ireland,"January 11, 2019",2018,TV-MA,4 Seasons,TV Comedies,"A circle of young men entertain vague ambitions involving quick cash, women and showbiz in this mockumentary on small-town Irish life in County Mayo.",Netflix
s4203,TV Show,Horrid Henry,,"Lizzie Waterworth, Joanna Ruiz, Emma Tate, Sue Elliot Nicholls, Tamsin Heatley, Wayne Forester, Aidan Cook, Stephanie Anne Mills, David Holt",United Kingdom,"January 11, 2019",2019,TV-Y7,2 Seasons,"British TV Shows, Kids' TV, TV Comedies","To his family's frustration, Henry is skilled at making trouble, from babysitting pets in his bedroom to starting a shark panic at the swimming pool.",Netflix
s4207,TV Show,Pocoyo,,"Stephen Fry, Alex Marty","Spain, United Kingdom","January 10, 2019",2017,TV-Y,4 Seasons,"Kids' TV, Spanish-Language TV Shows",Discovery is the name of the game for friendly toddler Pocoyo in this lifelike and richly colored animated adventure series for preschoolers.,Netflix
s4208,TV Show,When Heroes Fly,,"Tomer Kapon, Ninet Tayeb, Michael Aloni, Nadav Nates, Moshe Ashkenazi, Vanessa Chaplot, Yael Sharoni, Gil Frank, Oded Fehr, Dan Mor",Israel,"January 10, 2019",2018,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Dramas","Years after a bitter falling out, four Israeli military veterans reunite and travel to Colombia in search of a loved one they'd presumed to be dead.",Netflix
s4216,TV Show,See You in Time,,"Hans Chung, Mini Tsai, Albee Huang, David Chiu, Johnny Yang, Kuan Lin, Ray Yang, Liu Yu Shan",,"January 4, 2019",2017,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",A series of mysterious text messages from the future sends ripples through the lives of a delivery woman and an accomplished cyclist.,Netflix
s4217,TV Show,Déjà Vu,,"Mandy Wei, Yao Yuan Hao, Wang Si Ping, Yang Zheng, Jenna Wang, Nylon Chen",,"January 2, 2019",2013,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","After losing everything, a prima ballerina accepts a stranger's offer to dial back time and reclaim what was taken from her – but at a great price.",Netflix
s4219,TV Show,A Series of Unfortunate Events,,"Neil Patrick Harris, Patrick Warburton, Malina Weissman, Louis Hynes, K. Todd Freeman, Joan Cusack, Aasif Mandvi",United States,"January 1, 2019",2019,TV-PG,3 Seasons,"Kids' TV, TV Action & Adventure, TV Comedies","The extraordinary Baudelaire orphans face trials, tribulations and the evil Count Olaf in their fateful quest to unlock long-held family secrets.",Netflix
