,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,Platform
2926,s2927,Movie,Camelot,Diane Paloma Eskenazi,,,,2016,ALL,52 min,"Animation, Kids","Venture back through the mists of time to the glorious lost age of King Arthur, the sorcerer Merlin and the valiant Knights of the Round Table. Enter into the magical and timeless realm of Camelot! Produced by Golden Films/Directed by Diane Eskenazi",Prime Video
2929,s2930,Movie,Call Her Ganda,PJ Raval,"Naomi Fontanos, Meredith Talusan, Virginia Lacsa Suarez, Julita Laude",,,2018,16+,97 min,"Documentary, LGBTQ, Special Interest","When Jennifer Laude, a Filipina transwoman, is brutally murdered by a U.S. Marine, three women intimately invested in the case-an activist attorney (Virgie Suarez), a transgender journalist (Meredith Talusan) and Jennifer's mother (Julita ""Nanay"" Laude)-galvanize a political uprising, pursuing justice and taking on hardened histories of US imperialism.",Prime Video
2933,s2934,Movie,Cafe Society,Woody Allen,"Jeannie Berlin, Steve Carell, Jesse Eisenberg, Blake Lively, Parker Posey, Kristen Stewart, Corey Stoll, Ken Stott",,,2016,PG-13,96 min,"Comedy, Drama","Woody Allen’s CAFÉ SOCIETY follows Bobby (Jesse Eisenberg) from New York to Hollywood, where he falls in love, and back to New York, where he is swept up in high society night life.",Prime Video
2934,s2935,Movie,Cabin 28,Andrew Jones,"Lee Bane, Terri Dwyer, Brendee Green, Sean Rhys-James",,,2017,16+,84 min,"Horror, Suspense","Based on one of the most infamous unsolved murder cases in American history, this film follows a family who are terrorized at an isolated cabin by mysterious assailants.",Prime Video
2935,s2936,Movie,C.H.U.D.,Douglas Cheek,"Daniel Stern, Kim Greist",,,1984,R,97 min,"Fantasy, Horror, Science Fiction","Beneath the streets of New York city, there are hundreds of miles of subterranean tunnels unfit for anything human, unauthorized for anything experimental and unlikely to come to the surface... until now. Something horrible is loose in the sewers of Manhattan, and the city's homeless population has begun to mutate into 'Cannibalistic Humanoid Underground Dwellers.'",Prime Video
2936,s2937,Movie,C.C. & Company,Seymour Robbie,"Joe Namath, Ann-Margret, William Smith, Jennifer Billingsley, Mike Battle, Greg Mullavy, Teda Bracci, Don Chastain, Sid Haig, Bruce Glover, Kiva Kelly, Jacquie Rohr, Robert Keyworth, Alan Pappe, Ned Wertimer, Bill Baldwin, Shirley Eder, John Wasserman, Bonnie Emerson, Paula Warner, Wayne Cochran, Tedd King, Gary Littlejohn, Frank Noel, Wayne Cochran and the C.C. Ryders, Duncan Inches",,,1970,R,95 min,"Action, Comedy, Drama","Broadway Joe in his first starring role as a motorcyclist who first joins a motorcycle gang, but tangles with the biker gang while trying (not very hard) to fight off Ann-Margret's advances. He wins a motorcross event and they kidnap her. He races the leader to win her freedom.",Prime Video
2937,s2938,Movie,C U Soon (4K UHD),Mahesh Narayan,"Fahadh Faasil, Darshana Rajendran, Roshan Mathew, Saiju Kurup, Mala Parvathy",India,,2020,16+,98 min,"Drama, Suspense","Jimmy meets Anu on an online dating website and decides to marry her. Jimmy's mother entrusts his cousin Kevin to get details about Anu. Now its Kevin's turn to search for his cousin's fiancee who vanished without a trace, only to discover dark, shocking truths about her.",Prime Video
2938,s2939,Movie,C U Soon,Mahesh Narayan,"Fahadh Faasil, Darshana Rajendran, Roshan Mathew, Saiju Kurup, Mala Parvathy",India,,2020,16+,98 min,"Drama, Suspense","Jimmy meets Anu on an online dating website and decides to marry her. Jimmy's mother entrusts his cousin Kevin to get details about Anu. Now its Kevin's turn to search for his cousin's fiancee who vanished without a trace, only to discover dark, shocking truths about her.",Prime Video
2942,s2943,Movie,Bulldog Drummond,F. Richard Jones,"Ronald Colman, Claud Allister, Lawrence Grant",,,1929,7+,90 min,"Drama, Suspense","A bored WWI veteran helps out a young woman, whose uncle is being held hostage by embezzlers.",Prime Video
2949,s2950,Movie,Buckskin Frontier,Leslie Selander,"Richard Dix, Jane Wyatt, Lee J. Cobb, Victor Jory, George Reeves",,,1943,13+,106 min,Western,"A railroad man and the owner of a freight line battle for control of a crucial mountain pass. Dix's opposition comes from freight wagon owner Lee J. Cobb, due to Dix's railroad cutting into his business and Dix's opposition to Cobb. Complicating matters is that Cobb's daughter Jane Wyatt has fallen for the railroad man. But the real villain turns out to be rival railroad owner Victor Jory, who is looking to take out both Cobb and Dix.",Prime Video
2950,s2951,Movie,Bryan Callen: Never Grow Up,John Brenkus,Bryan Callen,,,2017,,58 min,"Arts, Entertainment, and Culture, Comedy, Special Interest",Comedy Dynamics Presents: Bryan Callen struggles with which definition of masculinity to embrace. His example growing up was his giant of a father. A marine. A man built for war. A man hairy enough to walk up to a bee hive naked and start eating honey without a problem. Bryan did not grow into his father. Bryan is a man but a man built for dance not war. This is his struggle.,Prime Video
2951,s2952,Movie,Bryan Callen: Man Class,Manny Rodriguez,Bryan Callen,,,2012,18+,78 min,"Arts, Entertainment, and Culture, Comedy, Special Interest",Comedy Dynamics Presents: In his first one-hour comedy special Bryan Callen gives his unique take on how to be a real man in modern society.,Prime Video
2952,s2953,Movie,Bruce Lee the Invincible,Chi Lo,Sing Chen,,,2007,PG-13,90 min,Action,Fantastic fighting sequences mark this kung fu action film.,Prime Video
2953,s2954,Movie,Bruce Lee Fights Back From the Grave,Doo-yopng Lee,Jun Chong,,,2007,R,84 min,Action,"When Han Ji-hyeok dies mysteriously in Las Vegas, his brother Han Wook rushes there to make inquiries. He learns that Ji-hyeok was the victim of an opium ring. Unable to get the police to help him, Han Wook works alone in his attempts to bring the drug smugglers to justice.",Prime Video
2954,s2955,Movie,"Brothers O'Toole",Richard Erdman,"John Astin, Pat Carroll, Hans Conried, Richard Erdman, Allyn Joslyn, Richard Jury, Lee Meriwether, Jesse White, Steve Carlson, Miranda Barry, Francelle Fuller, Ted Claassen, Harlan Knudson, Leon Inge, Jacques Hampton, Charlie Dell, Vern Porter, Noomis Jones, Leland Murray, Ed Mullancy, William Oakley, Gary Tessler, The Rufus Krisp Ensemble",,,1973,,95 min,"Comedy, Western","Western spoof about two con-artist characters at large in 1890 Colorado. The comedy is centered around a gold hunt with lots of fun. Hans Conreid is excellent as the bedraggled, bombastic politician.",Prime Video
2955,s2956,Movie,Broken Dreams,Pras Lingam,"Thenuka Kantharajah, Simson Bubbel, Nico Birnbaum",,,2020,18+,31 min,Horror,"The classy Dr. Christina Henning is the epitome of success - a rising career, a palatial house, a doting husband, and a lovely baby. But, amidst the intense intertwining of illusion and reality, as one peels away the layers, the ominous shadows get darker, and leaves one with the question, ""Who is Christina?""",Prime Video
2956,s2957,Movie,Brody Stevens: Live From The Main Room,Samuel Brownfield,Brody Stevens,,,2018,18+,49 min,"Arts, Entertainment, and Culture, Comedy, Special Interest","Filmed and created at The World Famous Comedy Store on Sunset Blvd in West Hollywood, CA, Stevens assumes the ""Sam Kinison spot"", leading this late night audience on a journey showcasing his unique banter, upbeat music, classic jokes and positive punchlines.",Prime Video
2957,s2958,Movie,Britt-Marie Was Here,Tuva Novotny,"Pernilla August, Peter Haber, Vera Vetali",,,2019,13+,97 min,"Comedy, Drama, Sports","After the end of a long marriage, Britt-Marie is starting over at age 63. In the small town of Borg, the only job she can find is quite challenging: to coach the town's youth soccer team. Based on the bestselling novel by author Fredrik Backman (A Man Called Ove).",Prime Video
2961,s2962,Movie,Bright Light Fever,,,,,2011,NR,21 min,Music Videos and Concerts,"Bright Light Fever take the brand of blues injected garage rock they bred in Sacramento CA south to Los Angeles' Spaceland.",Prime Video
2962,s2963,Movie,Brigham City,Richard Dutcher,"Richard Dutcher, Matthew Brown, Wilford Brimley, Carrie Morgan, Jongiorgi Enos, Tayva Patch, Jeff Johnson, Wendy Hoop, Sterling Brimley, Richard J. Clifford, Frank Gerrish, Janice Power, Rick Macy, Jerry North, Jack North, Jacque Gray, Barta Heiner, Tim Hansen, Robert Nelson, Elisabeth Simmons, Nick Whitaker, Chris Clark, Chris Kendrick, Emily Pearson, Bill Osborn, Kathryn Little, Haley Fife, Anne Sward, Bus Riley, Jayne Luke, Jeremey Hoop, Shannon Engemann, Ivan Croslan, Shirley Bliss",,,2001,PG-13,120 min,"Drama, Suspense",Sheriff Wes Clayton is also a Mormon bishop in a picturesque little burg called Brigham City whose residents are stalked by an unknown serial killer. This mystery will keep you on the edge of your seat until the shocking final twist.,Prime Video
2963,s2964,Movie,Brick Lane,Sarah Gavron,"Tannishtha Chatterjee, Satish Kaushik, Christopher Simpson, Harvey Virdi",,,2008,PG-13,102 min,"Arthouse, Drama, Romance","A young Bangladeshi woman, Nazneen, arrives in 1980s London, leaving behind her beloved sister and home, for an arranged marriage and a new life. Trapped within the four walls of her flat in East London, and in a loveless marriage with the middle aged Chanu, Nazneen struggles to accept her new life. Then one day, the hotheaded young Karim comes knocking at her door.",Prime Video
2964,s2965,Movie,Brian Posehn: The Fartist,Jay Chapman,Brian Posehn,,,2013,18+,58 min,"Arts, Entertainment, and Culture, Comedy, Special Interest","In Brian Posehn's new standup special, ""The Fartist,"" he raises the questions every parent needs to ask. Like when's the right time to tell your kid about Star Wars, or how much should you tip a stripper?",Prime Video
2965,s2966,Movie,Brian Posehn: 25x2,Ryan Polito,Brian Posehn,,,2017,,64 min,"Arts, Entertainment, and Culture, Comedy, Special Interest","In his latest special, Posehn laments the recent loss of his heroes. He also professes re-found love for a certain sci-fi franchise, and manages to rip on a few recent bands like the aging rocker he is. It's personal, silly, profane, dry and screwed up and sometimes all at once. It's Posehn / 25x2.",Prime Video
2966,s2967,Movie,Brian Aylward: Big In Asia,Tuvshinbold Naidandorj,Brian Aylward,,,2020,18+,46 min,"Arts, Entertainment, and Culture, Comedy, Special Interest","Filmed live in Ulaanbaatar, Mongolia, this is the first stand-up special from internationally acclaimed comedian Brian Aylward. Brian is also a former Canadian Comedy Award winner for ""Best Stand-up Comic.""A Newfoundland native, Brian shares a huge sack of hilarious stories from his adventures throughout Asia. It's all original, brilliantly observational comedy that bridges the cultural gap.",Prime Video
2967,s2968,Movie,Brent Weinbach: Appealing To The Mainstream,Jay Chapman,Brent Weinbach,,,2017,18+,69 min,"Arts, Entertainment, and Culture, Comedy, Special Interest","Brent Weinbach is weird. In this show, Brent attempts to adjust his quirky personality so that he can fit in with the world around him, which would be valuable to his career as a comedian and entertainer. Through an absurd and abstract discourse, Brent explores the ways in which he can appeal to a broader, mainstream audience, so that ultimately, he can become successful in show business.",Prime Video
2968,s2969,Movie,Breathtaking Scenes from Around the World,Mark Knight,,,,2012,ALL,30 min,Special Interest,"A relaxing video postcard with no narration-simply the natural sounds and HD video. Views include; Eternity Beach in Hawaii, Fly fishing on the Mohican River, Asilomar Beach inCalifornia, Twin Falls Yankee Boy Basin in Colorado, Jungle waterfall in Maui, Del Norte Coast lighthouse in California, Adirondack Mountains in New York, Trunk Bay in St. John and Annapolis Harbor sunrise.",Prime Video
2969,s2970,Movie,Breathing Fire,Lou Kennedy,Bolo Yeung,,,2007,PG-13,85 min,Action,"Michael, a Vietnam vet with two kids, pulls off a bank heist with his gang, which includes the bank's manager. To ensure the loyalty of everyone involved, Mike makes a special set of keys, so that the hiding place for the loot can only be opened if all the members are present. The bank manager, however, gets cold feet and tries to back out.",Prime Video
2972,s2973,Movie,Breaking & Exiting,Peter Facinelli,"Milo Gibson, Jordan Hinson, Adam Huber, Joaquim de Almeida, Justine Wachsberger, James Kyson, Lily Anne Harrison, Cecile Cubilo",,,2018,18+,78 min,Comedy,"During a burglary Harry, a charming house thief, meets Daisy and saves her from herself, sending them into a journey of self discovery and love.",Prime Video
2973,s2974,Movie,Breakfast In Hollywood,"Harold Schuster, Harold D. Schuster","Tom Breneman, Bonita Granville, Beulah Bondi, Edward Ryan, Raymond Walburn, Billie Burke, Zasu Pitts, Hedda Hopper, Andy Russell, Spike Jones, Nat 'King' Cole, Herman Bing, Ida Breneman, Lillian Bronson, James Conaty, Alice Cooper, Lester Dorr, Robert Dudley, Dick Elliott, Mary Field, Byron Foulger, Red Ingle, Thomas E. Jackson, Lois January, Anna Le Sueur, Howard Negley, William Newell, Sarah Padden, Lee Phelps, Del Porter, Syd Saylor, Minerva Urecal, Billy Wayne, Matt Willis",,,1946,13+,88 min,"Comedy, Music Videos and Concerts","Based on the old radio series of the same name, we see the lives of several people attending a popular radio show, including a young couple who meet and fall in love at the show. Great musical acts including Nat King Cole and Spike Jones. ZaSu Pitts almost steals the show!",Prime Video
2975,s2976,Movie,Brazz Sports Basketball Diary Two,Gezus Zaire,"Deleah Gibson, Jada Austin, Megan Hovan, Anajiah Wallace, Autumn Bell, Belinda Burks, Joe Fenelon, Jerome DuVal",,,2017,ALL,10 min,"Documentary, Sports","Deleah Gibson, Jada Austin, Anajiah Wallace and other hidden gems of the Cleveland area display and sharpen their skills at NYG Hoops Report's She Hoops Midwest Super Showcase in Hudson, Ohio. A collection of hungry high school and middle school student athletes gather to rise on the radars of collegiate coaches and talent evaluators.",Prime Video
2976,s2977,Movie,Bravetown,Daniel Duran,"Josh Duhamel, Laura Dern, Lucas Till",,,2015,R,114 min,"Arts, Entertainment, and Culture, Romance","Josh is a lost soul with an extraordinary musical talent set on a journey to encounter what he was least expecting but undoubtedly needed most. Feeling like it's him against the world at first, his path is crossed by many people looking for their own fate, that in the end, his presence in their lives turns out to be of extraordinary importance.",Prime Video
2977,s2978,Movie,Brash Boys Club,Quentin Lee,"Owen Alabado, Dash Kwiatkowski, Brad Loekle",,,2020,18+,82 min,"Arts, Entertainment, and Culture, Comedy, LGBTQ","Brash Boys Club, one-night of stand-up, gay comedy featuring three diverse comedians each doing a half-hour set.",Prime Video
2979,s2980,Movie,Branded a Coward,Sam Newfield,"Johnny Mack Brown, Billie Seward, Yakima Canutt, Syd Saylor, Robert Kortman, Lloyd Ingraham, Lee Shumway, Roger Williams",,,1935,13+,65 min,Western,"After young Johnny Hume (Brown) watches his mother, father, and brother get gunned down by a gang of outlaws, he grows up to become an expert bronco horse rider and target shooter, but is still plagued by nightmares of that horrible day. He is branded a coward after an incident at a saloon, and in shame, Johnny and his only friend Oscar hit the trail. The two witness a stage hold-up, ride in with guns blazing, and chase the robbers away. Ethel Carson (Seward) then works to get Johnny elected deputy marshal. Soon after, Johnny is forced to fight the stage robber's leader. In their brutal fistfight Johnny realizes that the man is his brother Billy, whom he had thought dead. The two brothers join together for the first time to fight off the other outlaws.",Prime Video
