,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,Platform
3157,s3158,TV Show,Bananas in Pyjamas Live Action,,"Karina Kelly, Nicholas Opolski, Taylor Owyns, Jeremy Scrivener, Ken Radley, Mary-Ann Henshaw, Shane McNamara",,,1992,7+,1 Season,Kids,"Bananas in Pyjamas is about two giant, child-like bananas, B1 and B2. They are good friends and companions. Together they live on Cuddles Lane, with their friends, the Teddy Bears: Amy, Morgan, and Lulu, the Rat-in-a-Hat, and various other critters. The bananas are constantly teasing the Teddy Bears, but those silly bananas are always able to foil the Rat's sly tricks.",Prime Video
3158,s3159,TV Show,Bananas in Pyjamas,,,,,2013,ALL,2 Seasons,"Animation, Kids","Come down the stairs and join B1 and B2 in the second season of the beloved preschool series, featuring all new adventures in Cuddlestown. Together with their well-known friends: the teddies - Amy, Lulu and Morgan - Rat, as well as some new friends, our Bananas do what they love to do best: help each other, work together and have fun.",Prime Video
3159,s3160,TV Show,BANANA FISH,,"Ash Lynx: Yuma Uchida, Okumura Eiji: Kenji Nojima, Max Lobo: Hiroaki Hirata, Dino F Golzine: Unsho Ishizuka, Shorter Wong: Makoto Furukawa",,,2018,TV-NR,1 Season,TV Shows,"Ash Lynx, a 17-year-old boy, is the boss of a street-kids gang in New York. One day, a man who was murdered before his eyes entrusts him with something.
And the last words uttered by that dying man was the phrase, """"BANANA FISH"""". That is the word his brother, Griffin, often mutters. Ash has a destined encounter with Eiji, a kind Japanese boy who comes to New York as a cameraman assistant.",Prime Video
3160,s3161,TV Show,Bali,,,,,2013,TV-Y,1 Season,Kids,"From PBS KIDS: Bali, a resolutely modern preschooler, lives a resolutely modern life in the big city.",Prime Video
3167,s3168,TV Show,Bad Ink,,Rob Ruckus,,,2014,TV-14,2 Seasons,"Documentary, Special Interest, Unscripted","Set against the glitzy backdrop of Las Vegas, also known as ""the mistake capital of the world,"" Bad Ink is a buddy comedy featuring renowned tattoo artist Dirk Vermin and his trusted sidekick and best friend of 20 years, Ruckus.",Prime Video
3175,s3176,TV Show,BABYLON,,"Yuichi Nakamura, Takahiro Sakurai, Kensho Ono, M・A・O, Kenyu Horiuchi",,,2020,TV-NR,1 Season,TV Shows,"Everyone knows that life is good. But what if that belief was shown to be wrong one day? Don’t miss the long-awaited animated version of Mado Nozaki’s sensational novel, which critics have described as a poison that enters your body when you read it! This story follows Zen Seizaki from the Tokyo District Public Prosecutors Office as he investigates a scandal involving a pharmaceutical company.",Prime Video
3176,s3177,TV Show,BabyBus - Super Rescue Team,,"Kiki, Miumiu, Hank, Momo",,,2018,ALL,1 Season,"Animation, Kids","Super Rescue Team is one of the most popular animation series done by BabyBus. The episode focuses on the Super Rescue Team composed of baby panda Kiki, Miumiu, and their partners, whose mission is to build a beautiful home. Whenever the city is faced with various problems, they will use cool equipment to complete difficult tasks.",Prime Video
3178,s3179,TV Show,Baby U Series,,,,,2015,ALL,1 Season,"Animation, Kids","Class is in session! Join BabyU for all the basic fundatmentals for your baby including language, counting, art exploration and more.",Prime Video
3179,s3180,TV Show,Baby U (Spanish audio),,,,,2018,ALL,1 Season,"Animation, Kids","It's learning 101 for your little one! Join in and count from 1 to 5, learn about farm animals, and explore colors, too. Spanish audio.",Prime Video
3184,s3185,TV Show,Babies Behind Bars,,,,,2018,TV-14,1 Season,"Documentary, Drama, Unscripted","A staggering 7,500 babies are born behind bars each year in the US. In most cases, babies are separated from their mother immediately after birth. Currently there are 8 experimental prison nursery programs nationwide and we have exclusive access to 1 of them.",Prime Video
3187,s3188,TV Show,Ax Men,,,,,2016,TV-14,2 Seasons,Special Interest,"Ax Men Season 9 returns with even higher stakes and more danger at every turn. This season you'll get a 360 degree view of what it takes to grow a logging empire. After losing King of the Mountain, Rygaard is on the brink of collapse while rival Papac Alaska may strike gold.",Prime Video
3188,s3189,TV Show,Avocado Toast the series,,"Heidi Lynch, Perrie Voss, Faye Marsay, Brenda Robins, Mag Ruffman, Nelu Handa, Andrew Moodie, Jefferson Mappin, Scott Cavalheiro, Alexander Nunez",,,2020,TV-14,1 Season,TV Shows,"Avocado Toast is an intergenerational sex comedy exploring the comforts and awkwardness of sex from age 25 to 69. When it comes to millennials and baby boomers, these nuts haven't fallen so far from the family tree.",Prime Video
3190,s3191,TV Show,Avatar: The Last Airbender,,,,,2008,TV-Y7,3 Seasons,Kids,"Fire promises to be the most exciting season yet! Aang wakes up from his battle with Azula to discover that Ba Sing Se has fallen and the world thinks he's dead. So he and his friends set off undercover to find Firelord Ozai before the Day of Black Sun.",Prime Video
3197,s3198,TV Show,Atom: the Beginning,,,,,2017,TV-14,1 Season,TV Shows,"Umataro Tenma and Hiroshi Ochanomizu are attempting to build a humanoid robot who not only looks like a human, but can feel like one. With no interested investors, they must pick up odd jobs to help fund their research.",Prime Video
3200,s3201,TV Show,Atlantis,,"Jack Donnelly, Mark Addy, Robert Emms, Jemima Rooper",,,2015,13+,2 Seasons,"Action, Science Fiction","The time has come for Jason to fulfill his destiny - or Atlantis will be lost beneath the waves forever. A year has passed and much has changed. With the future looking bleak, Ariadne turns to her most trusted friends for support and so Jason, Hercules and Pythagoras are thrust to the very heart of politics and power in the city.",Prime Video
3201,s3202,TV Show,Atlantic: A Year in the Wild,,David Suchet,,,2018,ALL,1 Season,"Documentary, Special Interest","The Atlantic Ocean is vast, wild and unforgiving. Stretching from the Antarctic in the south to the Arctic in the north. Four films, each documenting a different season in and around the Atlantic, through the lives of the animals that live there. Every season brings new challenges. All must be resilient and adaptable if they're to survive a year in the wild Atlantic.",Prime Video
3202,s3203,TV Show,Atlanta Plastic,,"Sidney Starr, Mike Forbs",,,2016,TV-14,2 Seasons,"Documentary, Drama, Unscripted","Atlanta Plastic follows three of the country's top African- American plastic surgeons as they shatter stereotypes and provide a wide range of beauty procedures to clients of all ethnic backgrounds.",Prime Video
3207,s3208,TV Show,Asawa Ko Karibal Ko,,"Kris Bernal, Rayver Cruz, Thea Tolentino",,,2019,7+,1 Season,"Kids, LGBTQ, Romance","Rachel meets Nathan, a gay man who later marries her due to family's pressure. Unhappy and trapped, Nathan plots his fake death and later undergoes to a sexual reassignment and face surgery in another country. Years later, Rachel meets Gavin and falls for him. Gavin has a wife, Venus whom Rachel will eventually find out to be her former husband.",Prime Video
